text,trust,fear,surprise,sadness,disgust,anger,anticipation,joy
@04Nakula @jokowi @prabowo @Gerindra @DailymotionUSA pdhl poros ke3 ini sebenarnya mau nelikung koalisi dr @prabowo…,0,0,0,0,0,0,0,1
@Achmadr06327297 @fadlizon @Gerindra @prabowo Maap bos...mending ngomong realita aja soal keunggulan itu dimana ung…,0,0,0,0,0,0,0,1
"@Gerindra @PKSejahtera @prabowo Seandainya sekutu berpaling, Apa masih tetap calonin Tuan Prabowo? Gak ada yang lebih fresh gitu?",0,1,0,0,0,0,0,0
"@fadlizon @Gerindra @prabowo Saya dukung pak prabowo capres,namun plihan #2019TetapJokowi",0,0,0,0,0,0,0,1
@Gerindra @PKSejahtera Mencari yang setia dan sepemikiran itu sulit..\nJika anda menemukan sahabat yg setia dan sepe…,1,0,0,0,0,0,0,0
#kom4 Edhy P. @Gerindra #sumsel1: kita berharap semoga bisa tegas dan silakan Pak Dirjen utk menyampaikan paparannya.,1,0,0,0,0,0,0,0
@Gerindra Memang pak prabowo sdh pernah mimipin  masyarakat..? Paling cuma partai nya yang dipimpinnya kalau jkw di…,0,0,0,0,0,1,0,0
@fadlizon @prabowo @Gerindra Kompas medianya cebong,0,0,0,0,0,1,0,0
@04Nakula @jokowi @prabowo @Gerindra @DailymotionUSA pdhl poros ke3 ini sebenarnya mau nelikung koalisi dr @prabowo…,0,0,0,0,0,0,0,1
@Achmadr06327297 @fadlizon @Gerindra @prabowo Maap bos...mending ngomong realita aja soal keunggulan itu dimana ung…,0,0,0,0,0,0,0,1
"@Gerindra @PKSejahtera @prabowo Seandainya sekutu berpaling, Apa masih tetap calonin Tuan Prabowo? Gak ada yang lebih fresh gitu?",0,1,0,0,0,0,0,0
"@fadlizon @Gerindra @prabowo Saya dukung pak prabowo capres,namun plihan #2019TetapJokowi",0,0,0,0,0,0,0,1
@Gerindra @PKSejahtera Mencari yang setia dan sepemikiran itu sulit..\nJika anda menemukan sahabat yg setia dan sepe…,1,0,0,0,0,0,0,0
#kom4 Edhy P. @Gerindra #sumsel1: kita berharap semoga bisa tegas dan silakan Pak Dirjen utk menyampaikan paparannya.,1,0,0,0,0,0,0,0
@Gerindra Memang pak prabowo sdh pernah mimipin  masyarakat..? Paling cuma partai nya yang dipimpinnya kalau jkw di…,0,0,0,0,0,1,0,0
@fadlizon @prabowo @Gerindra Kompas medianya cebong,0,0,0,0,0,1,0,0
"@fadlizon @Gerindra Gitu ya bos...,gimana nanti bila pks, pan, demokrat ngusung GN.",0,0,0,0,0,0,0,1
@fadlizon @Gerindra @prabowo Kalo jokowi sama prabowo... Sy pilih kang sule aja,0,0,0,0,0,0,1,0
@Gerindra @prabowo Karena mereka takut kalah,0,0,0,0,0,0,0,1
"@fadlizon @Gerindra @prabowo Jokowi gk pernah dipecat,gk pernah minggat ke LN, gk pernah dicerai rabi, dan kekayaan…",0,0,0,0,0,0,0,1
#Kom4 Edhy Prabowo @Gerindra #Sumsel1: kalo memang tdk ada sikap kooperatif maka kami minta ya ketegasan. Karna ini…,0,0,0,0,0,0,1,0
"@SmCahaya @ajizenderry @Gerindra Apakah sudah ada yg memastikan, bahwa @jokowi tidak dikentuti oleh kudanya @prabowo ...?",0,0,0,0,0,0,1,0
@Gerindra @prabowo Saya sangat tidak setuju jika p prabowo slalu dsandingkan dg p jokowi...itu murahan...smoga ini…,0,0,0,0,1,0,0,0
@Gerindra Survay survey cara lama dah gak laku tuh ...\n#2019GantiPresiden,0,0,0,0,1,0,0,0
@Gerindra @Masduqie66 Asyik memang asyik pasti menonjol soalnya orangnya asyik,1,0,0,0,0,0,0,0
"@Gerindra Khayalan2 seperti itu biarin saja min, nggak ada waktu hadapi cebong hoax",0,0,0,0,0,1,0,0
@WikiDPR #kom4 Edhy P. @Gerindra #sumsel1 membuka rapat pukul 16.17 WIB,0,0,0,0,0,0,0,1
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono kl hanya tuduhan sudah lah pak gk usah ribet, msh ada hal lain yg lbh penting",0,1,0,0,0,0,0,0
@fadlizon @Gerindra prabowo presiden kan masih fiksi.... belum terjadi..   fiksi itu bisa terjadi bisa juga tidak..…,0,0,0,0,1,0,0,0
@fadlizon @Gerindra Jgn paksakan cara fikir anda kpd org lain..,0,0,0,0,0,0,0,1
@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono buktikan saja lah @Gerindra kl gak ada bukti brti ya omong kosong,0,0,0,0,0,1,0,0
@Gerindra Saya melihat ada suara masyarakat seolah menempatkan Pak Prabowo pantas di posisi Cawapres dan Pemimpin d…,1,0,0,0,0,0,0,0
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono saya sambut positif pertemuan pak wiranto sm pak sby, kl ada yg n…",0,0,0,0,0,0,0,1
@WikiDPR #Kom4 Edhy Prabowo @Gerindra #Sumsel1: kalo memang tdk ada kooperatif maka kami minta ya ketegasan. Karna…,0,0,0,0,0,0,1,0
@gusmus_md @ajizenderry @Gerindra jokowi bahkan udah bawa kudanya prabowo.,0,0,0,0,0,0,0,1
@miftahulhuda_86 @fadlizon @Gerindra @jokowi @MardaniAliSera Gak afa salah dgn silaturahminya...yg menjadi masalah…,1,0,0,0,0,0,0,0
